编号	文件名	编码功能概要
1	listitem.h	表元素类型(int)
2	chitem.h	表元素类型(char)
3	llist.h	用数组实现表
4	cnode.h	单链表结点
5	chain.h	用指针实现表
6	indnode.h	间接寻址链表结点
7	indlist.h	用间接寻址实现表
8	snode.h	数组单元类型
9	simul.h	模拟空间结构类型
10	dsimul.h	双空间模拟结构类型
11	simunode.h	游标表结构
12	schain.h	用游标实现表
13	ccnode.h	单循环链表结点
14	cchain.h	单循环链表
15	double.h	双链表
16	dnode.h	循环双链表结构
17	cdouble.h	循环双链表实现
18	josephus.c	Josephus排列问题
19	josephus1.c	Josephus排列问题
20	maxsum.c	最大子段和问题
21	testlist.c	测试表
