编号	文件名	编码功能概要
1	item.h	待排序元素类型(int)
2	item1.h	待排序元素类型(node)
3	item2.h	待排序元素类型(double)
4	bubble.h	冒泡排序算法
5	insort.h	插入排序算法
6	selsort.h	选择排序算法
7	quicksort.h	快速排序算法
8	ranquicksort.h	随机快速排序算法
9	nonquicksort.h	非递归快速排序算法
10	m3quicksort.h	三数取中快速排序算法
11	3wquicksort.h	三划分快速排序算法
12	lstack.h	链栈
13	stacknode.h	链栈结点
14	stackitem.h	栈元素类型
15	lqueue.h	链队列
16	qnode.h	链队列结点
17	qitem.h	队列元素类型
18	node.h	单链表结点类型
19	msort.h	合并排序算法
20	linkmsort.h	链表结构的合并排序
21	countsort.h	计数排序
22	binsort.h	桶排序
23	select.h	随机选择算法
24	worstselect.h	线性时间选择
25	wmedian.c	带权中位数
26	wmedian1.c	带权中位数
27	testsort.c	测试排序算法
28	testsortlink.c	测试链表结构排序算法
29	testselect.c	测试选择算法
30	radixsort.h	基数排序
31	sum.c	最大递增序列问题
