编号	文件名	编码功能概要
1	minheap.h	极小化堆
2	setitem.h	有序集元素类型
3	minhblt.h	极小化左偏树
4	qitem1.h	指针队列类型1
5	hbltnode.h	左偏树的结点类型
6	lqueue.h	指针队列
7	maxhblt.h	极大化左偏树
8	binary.h	二叉树
9	treeitem.h	树元素类型
10	huffman.h	哈夫曼树结点
11	setitem2.h	哈夫曼集合结点
12	maxhbltnode.h	大化左偏树的结点类型
13	stackitem.h	栈元素类型
14	stacknode.h	栈结点
15	lstack.h	用指针实现栈
16	qitem1.h	指针队列
17	lqueue.h	用指针实现队列
18	qnode.h	指针队列结点
19	testhsort.c	测试堆排序算法
20	testminheap.c	测试极小化堆
21	testminhblt.c	测试极小化左偏树
22	testmaxhblt.c	测试极大化左偏树
23	huffman.c	哈夫曼编码
24	aver.c	大数据统计
